dates,weekday,age,BMI,sex,favorite_food,allergies,ethnicity,haircolor,eye_color,BFI_O,BFI_C,BFI_E,BFI_A,BFI_N,scratch,itch,coinflip,blood_type,first_name,identifier,normal,werewolf,wererabbit
1966-02-17,Thurs,50,22.8721110864805,female,Artichokes,NA,white,brown,brown,4.368173295445024,4.013551953109662,3.9682473012102872,3.8296540213547847,3.9467500957931243,3,2,tails,O-,Elanda,474,8.326672684688674e-17,0.56,0.43999999999999984
1980-03-23,Sun,36,29.04233576156171,male,Chocolate,fish,hispanic,brown,brown,3.888055045545221,4.300309147795121,2.798456007923043,3.8121392808291854,5.198730490605883,5,6,heads,O+,Christobal,981,0.5535152612504373,0.16000000000000003,0.2864847387495627
1989-09-17,Sun,26,22.106596122953142,female,Hamburgers,NA,white,brown,blue,2.8766516697744247,2.8434649735435635,3.31481876104954,4.119632919683953,2.9532237181725347,6,3,tails,O+,Talana,721,0.38,0.3,0.31999999999999995
1980-03-17,Mon,36,25.864838172267483,female,Artichokes,NA,white,blond,hazel,2.323493561057994,4.529231677790422,2.94642373720662,3.780443319486105,1.9085445028522523,6,2,tails,A+,Shallyn,370,0.54,0.33999999999999997,0.12
1993-06-25,Fri,23,39.28320931348943,male,Candy,NA,white,brown,blue,3.622257135812781,3.6967104099886026,3.807692537983172,3.3407010926800553,4.219431376400593,5,4,tails,O+,Somnang,658,0.15,0.54,0.30999999999999994
1989-01-11,Wed,27,27.89268198413715,female,Mushrooms,NA,black,brown,brown,4.2813926070468264,2.8576439113387893,3.6672977962374707,3.3889541641229477,2.4545942667435416,2,2,tails,B+,Akesha,975,0.18000000000000002,0.6,0.22
1994-06-15,Wed,22,18.132989208790708,male,Chocolate,NA,white,brown,blue,3.169746257697823,3.6930103027198014,4.701349453483256,4.243455850733194,2.224048608692362,2,3,heads,O+,Lino,235,0.38,0.5700000000000001,0.04999999999999993
1976-11-04,Thurs,39,22.6272368030156,male,Rice pudding,NA,white,brown,blue,2.8751659921457344,2.7991518396281907,1.968937607063502,3.860979417501687,3.766798110499326,5,1,heads,A+,Quenton,346,0.55,0.42,0.030000000000000027
1983-06-26,Sun,33,30.543822904309316,female,Mushrooms,NA,white,blond,brown,3.5859537364246576,4.079227117412598,2.5531368738023645,2.936331976737009,4.430546167553178,2,3,tails,A-,Kaysi,993,0.16,0.41,0.43000000000000005
1967-11-01,Wed,48,28.82410339343096,male,Peanut Butter,tree nuts (such as cashews or walnuts),white,brown,brown,1.8892910242617913,2.8890725650039215,4.051032271494213,3.222487746695364,2.4814733631981736,7,1,heads,O+,Jestin,873,0.51,0.24,0.25
1991-05-14,Tues,25,27.62128430869485,female,Chocolate,NA,hispanic,black,brown,3.6023031697033248,3.126231299807852,3.9971378475170862,3.830734744210776,1.443406211492633,5,6,tails,A+,Shenika,230,0.41,0.37,0.22000000000000003
1975-10-02,Thurs,40,22.885182312763682,male,Popcorn,NA,hispanic,brown,hazel,6.190167271184615,2.401742913765041,2.611841217932486,4.537525070874953,3.506087332079826,5,2,tails,A+,Troyce,610,0.33999999999999997,0.5,0.16000000000000003
1991-08-25,Sun,24,27.56589615446239,male,Candy,NA,hispanic,red,light brown,3.7141431779137406,2.9600560723691274,1.3089336360346224,3.497713630388855,3.061520122259571,3,1,heads,O+,Jacob,228,0.76,0.21000000000000008,0.029999999999999916
1971-02-06,Sat,45,19.154804499163617,male,Hamburgers,NA,white,blond,blue,2.731936792033709,3.112382915345584,3.553163715436241,4.6214243218288225,3.894110686930949,3,5,heads,O+,Lars,513,0.44,0.15000000000000002,0.41
1960-08-19,Fri,55,23.697309935504776,male,Apples,NA,white,brown,blue,4.264279809313977,4.380970542599944,2.5187128834545502,3.0691101156573253,2.847864470592253,6,4,heads,A+,Malcom,212,0.6573805231315728,0.27,0.07261947686842718
1975-11-29,Sat,40,27.646466825074988,female,Peanut Butter,NA,white,light brown,brown,3.496609615858206,2.4552962250281887,2.751532397354064,3.265252928905271,3.5420352328315348,4,6,tails,O+,Alean,533,0.20000000000000004,0.48,0.31999999999999995
1986-11-21,Fri,29,24.073364465339715,male,Halibut,fish,hispanic,black,black,3.936102019724292,3.755745898181541,4.051197891249826,3.602080149350447,3.706783206830343,5,1,tails,A+,Chastin,656,0.060000000000000026,0.5700000000000001,0.3699999999999999
1999-09-27,Mon,16,24.122604051983878,female,Hamburgers,NA,white,brown,brown,3.8722191977987395,3.576853113976044,4.4706256786835405,3.241197242117062,3.4478438803053866,5,5,heads,A+,Laury,821,0.7799999999999999,0.22000000000000008,0.0
1961-11-24,Fri,54,26.646887991684988,male,Banana,NA,white,brown,brown,5.312477279138007,2.2493314504889668,3.3591352513147448,4.363353069869426,3.3162970127444122,2,3,heads,AB+,Amit,833,0.44999999999999996,0.1100000000000001,0.43999999999999995
1973-06-25,Mon,43,32.71323950399965,male,Ham,NA,white,brown,hazel,3.032538530112295,4.375275164853331,3.0075494915258627,4.510577342636196,1.754097897521495,4,5,tails,O+,Sumner,777,0.08000000000000004,0.7999999999999999,0.12000000000000002
1977-08-19,Fri,38,30.023011085577156,female,Chicken,NA,hispanic,brown,brown,2.6435846183904803,3.670247204475289,2.923246093996017,4.331289333557302,1.8306896801897898,2,5,tails,A+,Theresa,126,8.326672684688674e-17,0.5800000000000001,0.4199999999999998
1991-01-20,Sun,25,37.15181375889709,male,Donuts,NA,white,light brown,brown,3.2064753965802173,2.8275110155435654,2.3747928472422597,4.4860610791373965,5.357598055334406,6,4,tails,A+,Osman,344,0.03,0.61,0.36
1988-02-16,Tues,28,22.006386850647257,male,Ham,NA,white,brown,brown,4.124092718281778,3.9249778913722597,2.8657322278737682,3.390272863772767,4.238816171719828,4,3,heads,O+,Adam,742,0.7615176538195684,0.14,0.09848234618043161
1968-05-05,Sun,48,29.422938874013557,male,Cheddar cheese,NA,white,red,brown,4.323039507736115,4.354942906213542,1.652802508909959,4.582105803549359,2.8322666153495044,4,1,tails,A+,Chase,947,0.10000000000000006,0.44,0.45999999999999996
1991-08-01,Thurs,25,20.83362369834435,male,Rice pudding,NA,black,brown,brown,4.331040686825844,3.2580649862149573,3.8711352274030992,4.657062712525368,3.5274131915808864,1,5,tails,A+,Dillan,229,0.0200000000000001,0.8357841183943369,0.14421588160566304
1972-03-21,Tues,44,18.32009191534324,female,Beef,NA,white,light brown,blue,3.6621842412530006,3.364073919050292,3.5286366566544705,3.4166390197548644,2.6920386388082456,7,3,heads,O+,Francie,473,0.8,0.15,0.04999999999999993
1982-09-10,Fri,33,27.94975327849258,female,Lamb,NA,white,brown,brown,4.227604547751434,4.245416086950529,4.09144706430644,3.9024505258844235,2.6605474676821212,4,2,tails,O+,Laetitia,14,0.47000000000000003,0.48,0.04999999999999999
1976-08-23,Mon,39,24.978808996064398,female,Chocolate,NA,white,brown,blue,3.804250565966944,3.7076267829846445,2.719555704245095,3.4081516382138943,4.099377182151722,2,5,heads,A+,Devida,899,0.14,0.7799999999999999,0.08000000000000007
1993-03-01,Mon,23,40.47476403274857,male,Popcorn,NA,black,black,brown,4.876118579056546,2.834858251782231,3.2192374073241288,4.605421960430931,3.8822584625627057,7,2,heads,A+,Sharrod,728,0.32999999999999996,0.67,0.0
1974-11-25,Mon,41,18.821160310668926,female,Steak,NA,white,light brown,brown,4.24241581510046,4.077574043592611,2.9635469044150615,3.4935786186891082,2.958858760152517,3,2,heads,O+,Shequetta,856,0.43,0.29000000000000004,0.27999999999999997
